"height10","z","ci_low","ci_high","height_cm","sex","method"
14.9889075630252,-0.13862558506594,-0.358631505251993,0.0813803351201138,149.889075630252,"Female","Allometry"
15.0134453781513,-0.144177151506373,-0.351401298359585,0.0630469953468392,150.134453781513,"Female","Allometry"
15.0379831932773,-0.1498210734644,-0.344681808512822,0.0450396615840217,150.379831932773,"Female","Allometry"
15.0625210084034,-0.155561045160725,-0.33849471716624,0.0273726268447891,150.625210084034,"Female","Allometry"
15.0870588235294,-0.161400760816052,-0.332861851205214,0.0100603295731104,150.870588235294,"Female","Allometry"
15.1115966386555,-0.167343914651083,-0.327805142054805,-0.00688268724736082,151.115966386555,"Female","Allometry"
15.1361344537815,-0.173394200886523,-0.323346555373538,-0.0234418463995079,151.361344537815,"Female","Allometry"
15.1606722689076,-0.179555313743076,-0.319507979081877,-0.0396026484042751,151.606722689076,"Female","Allometry"
15.1852100840336,-0.185830947441445,-0.316311054008948,-0.0553508408739425,151.852100840336,"Female","Allometry"
15.2097478991597,-0.192224796202335,-0.313776928026567,-0.070672664378103,152.097478991597,"Female","Allometry"
15.2342857142857,-0.198740554246448,-0.311925912188894,-0.0855551963040027,152.342857142857,"Female","Allometry"
15.2588235294118,-0.205381915794489,-0.310777017957699,-0.0999868136312794,152.588235294118,"Female","Allometry"
15.2833613445378,-0.212152575067162,-0.310347361013455,-0.113957789120868,152.833613445378,"Female","Allometry"
15.3078991596639,-0.219056226285169,-0.310651433467714,-0.127461019102624,153.078991596639,"Female","Allometry"
15.3324369747899,-0.226096563669216,-0.311700276916742,-0.140492850421689,153.324369747899,"Female","Allometry"
15.356974789916,-0.233277281440005,-0.313500636520393,-0.153053926359617,153.56974789916,"Female","Allometry"
15.381512605042,-0.240602010095923,-0.316053982814184,-0.165150037377663,153.81512605042,"Female","Allometry"
15.4060504201681,-0.24807055679631,-0.319341364541038,-0.176799749051581,154.060504201681,"Female","Allometry"
15.4305882352941,-0.25567680252498,-0.323317064555576,-0.188036540494384,154.305882352941,"Female","Allometry"
15.4551260504202,-0.263414118487211,-0.327932022542548,-0.198896214431875,154.551260504202,"Female","Allometry"
15.4796638655462,-0.271275875888278,-0.333136690196806,-0.20941506157975,154.796638655462,"Female","Allometry"
15.5042016806723,-0.279255445933459,-0.338881951643399,-0.21962894022352,155.042016806723,"Female","Allometry"
15.5287394957983,-0.28734619982803,-0.345120097707275,-0.229572301948784,155.287394957983,"Female","Allometry"
15.5532773109244,-0.295541508777266,-0.351805734791845,-0.239277282762687,155.532773109244,"Female","Allometry"
15.5778151260504,-0.303834743986445,-0.358896517424484,-0.248772970548405,155.778151260504,"Female","Allometry"
15.6023529411765,-0.312219276660842,-0.366353623714531,-0.258084929607153,156.023529411765,"Female","Allometry"
15.6268907563025,-0.320688478005734,-0.374141935813267,-0.267235020198201,156.268907563025,"Female","Allometry"
15.6514285714286,-0.329235719226397,-0.382229931692501,-0.276241506760294,156.514285714286,"Female","Allometry"
15.6759663865546,-0.337854371528109,-0.390589330977364,-0.285119412078853,156.759663865546,"Female","Allometry"
15.7005042016807,-0.346537806116144,-0.399194561206936,-0.293881051025353,157.005042016807,"Female","Allometry"
15.7250420168067,-0.35527939419578,-0.408022120919035,-0.302536667472526,157.250420168067,"Female","Allometry"
15.7495798319328,-0.364072506972293,-0.417049914309555,-0.311095099635032,157.495798319328,"Female","Allometry"
15.7741176470588,-0.372910515650959,-0.426256622106546,-0.319564409195373,157.741176470588,"Female","Allometry"
15.7986554621849,-0.381786791437054,-0.435621158124665,-0.327952424749444,157.986554621849,"Female","Allometry"
15.8231932773109,-0.390694705535856,-0.445122243794803,-0.336267167276909,158.231932773109,"Female","Allometry"
15.847731092437,-0.39962762915264,-0.454738116330858,-0.344517141974421,158.47731092437,"Female","Allometry"
15.872268907563,-0.408578933492682,-0.464446372011276,-0.352711494974088,158.72268907563,"Female","Allometry"
15.8968067226891,-0.41754198976126,-0.474223935536469,-0.36086004398605,158.968067226891,"Female","Allometry"
15.9213445378151,-0.426510169163648,-0.484047140079795,-0.368973198247501,159.213445378151,"Female","Allometry"
15.9458823529412,-0.435476842905124,-0.493891900334509,-0.37706178547574,159.458823529412,"Female","Allometry"
15.9704201680672,-0.444435382190965,-0.503733961944922,-0.385136802437008,159.704201680672,"Female","Allometry"
15.9949579831933,-0.453379158226446,-0.513549214315562,-0.393209102137331,159.949579831933,"Female","Allometry"
16.0194957983193,-0.462301542216845,-0.523314059007298,-0.401289025426392,160.194957983193,"Female","Allometry"
16.0440336134454,-0.471195905367436,-0.533005831981715,-0.409385978753157,160.440336134454,"Female","Allometry"
16.0685714285714,-0.480055618883496,-0.542603284285752,-0.41750795348124,160.685714285714,"Female","Allometry"
16.0931092436975,-0.488874053970303,-0.55208713202262,-0.425660975917987,160.931092436975,"Female","Allometry"
16.1176470588235,-0.497644581833132,-0.561440692392116,-0.433848471274148,161.176470588235,"Female","Allometry"
16.1421848739496,-0.50636057367726,-0.570650627926676,-0.442070519427845,161.421848739496,"Female","Allometry"
16.1667226890756,-0.515015400707962,-0.5797078252622,-0.450322976153725,161.667226890756,"Female","Allometry"
16.1912605042017,-0.523602434130516,-0.588608436755562,-0.45859643150547,161.912605042017,"Female","Allometry"
16.2157983193277,-0.532115045150199,-0.597355110876833,-0.466874979423565,162.157983193277,"Female","Allometry"
16.2403361344538,-0.540546604972284,-0.605958426884629,-0.475134783059939,162.403361344538,"Female","Allometry"
16.2648739495798,-0.548890484802051,-0.614438525033653,-0.483342444570449,162.648739495798,"Female","Allometry"
16.2894117647059,-0.557140055844774,-0.622826877374585,-0.491453234314964,162.894117647059,"Female","Allometry"
16.3139495798319,-0.565288689305732,-0.631168066941898,-0.499409311669565,163.139495798319,"Female","Allometry"
16.338487394958,-0.573329756390197,-0.639521329030083,-0.507138183750312,163.38487394958,"Female","Allometry"
16.363025210084,-0.581257100568572,-0.647963122974933,-0.514551078162211,163.63025210084,"Female","Allometry"
16.3875630252101,-0.589070055393313,-0.656602117200546,-0.52153799358608,163.875630252101,"Female","Allometry"
16.4121008403361,-0.596771496405297,-0.665561547499111,-0.527981445311484,164.121008403361,"Female","Allometry"
16.4366386554622,-0.604364358178547,-0.674957627098487,-0.533771089258608,164.366386554622,"Female","Allometry"
16.4611764705882,-0.61185157528708,-0.684891381119579,-0.538811769454582,164.611764705882,"Female","Allometry"
16.4857142857143,-0.619236082304919,-0.695441917608164,-0.543030247001674,164.857142857143,"Female","Allometry"
16.5102521008403,-0.62652081380608,-0.706662499179268,-0.546379128432892,165.102521008403,"Female","Allometry"
16.5347899159664,-0.633708704364585,-0.71858019743639,-0.548837211292781,165.347899159664,"Female","Allometry"
16.5593277310924,-0.640802688554456,-0.731198787950621,-0.55040658915829,165.593277310924,"Female","Allometry"
16.5838655462185,-0.647805700949708,-0.744503695845401,-0.551107706054016,165.838655462185,"Female","Allometry"
16.6084033613445,-0.654720676124366,-0.758467575150196,-0.550973777098536,166.084033613445,"Female","Allometry"
16.6329411764706,-0.661550548652446,-0.773055413619942,-0.550045683684949,166.329411764706,"Female","Allometry"
16.6574789915966,-0.66829825310797,-0.788228576651383,-0.548367929564557,166.574789915966,"Female","Allometry"
16.6820168067227,-0.674966724064957,-0.803947659502831,-0.545985788627082,166.820168067227,"Female","Allometry"
16.7065546218487,-0.681558896097426,-0.820174290664584,-0.542943501530269,167.065546218487,"Female","Allometry"
16.7310924369748,-0.6880777037794,-0.836872134792212,-0.539283272766588,167.310924369748,"Female","Allometry"
16.7556302521008,-0.694526081684895,-0.854007344120902,-0.535044819248889,167.556302521008,"Female","Allometry"
16.7801680672269,-0.700906964387934,-0.871548661273345,-0.530265267502524,167.801680672269,"Female","Allometry"
16.8047058823529,-0.707223286462535,-0.88946732043661,-0.52497925248846,168.047058823529,"Female","Allometry"
16.829243697479,-0.71347798248272,-0.907736844989183,-0.519219119976256,168.29243697479,"Female","Allometry"
16.853781512605,-0.719673987022505,-0.926332802812379,-0.513015171232632,168.53781512605,"Female","Allometry"
16.8783193277311,-0.725814234655914,-0.945232555107,-0.506395914204828,168.783193277311,"Female","Allometry"
16.9028571428571,-0.731901659956965,-0.964415018064096,-0.499388301849834,169.028571428571,"Female","Allometry"
16.9273949579832,-0.737939197499677,-0.983860446588196,-0.492017948411158,169.273949579832,"Female","Allometry"
16.9519327731092,-0.743929781858072,-1.00355024331359,-0.484309320402556,169.519327731092,"Female","Allometry"
16.9764705882353,-0.749876347606168,-1.02346679285257,-0.476285902359769,169.764705882353,"Female","Allometry"
